DATE,PRCP,TAVG,TMAX,TMIN,WIND_MAX(kph),WIND_MIN(kph),AVG_WIND(kph),HUMIDITY_(%),Weather
2013-01-01,0.0,8.9,18.5,5.0,11.9,11.9,5.95,90.3,Partially cloudy
2013-01-02,0.0,7.4,16.6,6.0,15.5,15.5,7.75,93.9,Partially cloudy
2013-01-03,0.0,7.3,12.3,4.6,13.0,13.0,6.5,93.8,Partially cloudy
2013-01-04,0.0,7.1,14.9,3.0,9.6,9.6,4.8,87.3,Partially cloudy
2013-01-05,0.0,6.4,11.3,2.6,13.0,13.0,6.5,93.9,Partially cloudy
2013-01-06,0.0,6.3,11.4,3.9,11.9,11.9,5.95,95.0,Clear
2013-01-07,0.0,5.7,11.8,1.0,13.0,13.0,6.5,91.8,Partially cloudy
2013-01-08,0.0,7.3,14.0,3.0,19.7,19.7,9.85,82.4,Clear
2013-01-09,0.0,10.7,20.7,2.0,22.3,22.3,11.15,72.0,Clear
2013-01-10,0.0,12.8,20.3,5.0,33.5,25.9,29.7,62.7,Clear
2013-01-11,0.0,13.6,21.7,5.0,24.0,24.0,12.0,67.8,Clear
2013-01-12,0.0,15.7,24.1,7.6,13.4,13.4,6.7,67.8,Clear
2013-01-13,0.0,16.0,22.4,11.6,17.3,17.3,8.65,81.5,Clear
2013-01-14,0.0,13.2,19.9,10.0,13.0,13.0,6.5,95.0,Partially cloudy
2013-01-15,0.0,13.4,21.8,6.0,13.7,13.7,6.85,81.9,Clear
2013-01-16,0.0,16.4,23.6,10.3,15.5,15.5,7.75,83.0,Partially cloudy
2013-01-17,8.94,16.6,20.2,14.1,18.4,18.4,9.2,94.5,"Rain, Partially cloudy"
2013-01-18,22.462,13.4,16.8,11.3,20.1,20.1,10.05,95.7,"Rain, Partially cloudy"
2013-01-19,0.0,12.3,18.4,6.3,20.5,20.5,10.25,83.5,Clear
2013-01-20,0.0,10.8,18.3,4.9,20.5,20.5,10.25,79.2,Clear
2013-01-21,0.0,11.3,19.1,4.9,17.1,17.1,8.55,73.0,Clear
2013-01-22,0.0,11.7,20.2,5.1,13.0,13.0,6.5,74.6,Clear
2013-01-23,0.0,12.2,19.9,5.1,11.4,11.4,5.7,77.0,Clear
2013-01-24,0.0,12.3,19.9,6.0,15.8,15.8,7.9,79.0,Clear
2013-01-25,0.0,12.4,20.6,6.0,21.7,21.7,10.85,74.6,Clear
2013-01-26,0.0,12.5,20.1,5.1,20.5,20.5,10.25,69.5,Clear
2013-01-27,0.0,13.6,21.5,7.0,19.6,19.6,9.8,71.7,Partially cloudy
2013-01-28,0.0,13.7,21.1,7.0,13.0,13.0,6.5,69.8,Partially cloudy
2013-01-29,0.0,14.4,22.5,7.9,17.8,17.8,8.9,68.7,Clear
